pic1;pic2;score
41dTWz5u3OL._SX395_.jpg;516EJv4m1XL._SY300_.jpg;0
41JvUmCiEoL._SX395_.jpg;41B8Xw-YyUL._SX300_.jpg;0
41wRSnJ-qOL._SY445_.jpg;41i1viWuSKL._SX342_.jpg;0
31vnEoTtr0L._SY445_.jpg;41Y459ZO9GL._SY445_.jpg;1
41Jh1oxfyEL._SY395_.jpg;41QEtd5wQUL._SX342_.jpg;0
41yb0eMhu4L._SY395_.jpg;41vByVkLtZL._SY300_.jpg;0
41lptYdk5YL._SY300_.jpg;51avx1gB1kL._SY300_.jpg;0
41q43-qJqnL._SX300_.jpg;41Mops3Ic0L._SY395_.jpg;0
41BGxZziY3L._SY395_.jpg;51aOIRkj5TL._SY300_.jpg;0
41WfzyZnDnL._SY445_.jpg;31QKyA2CN9L._SX342_.jpg;0
51Xl6C0N2uL._SX395_.jpg;41jE6X-la6L._SX342_.jpg;0
41TSnH44MRL._SX395_.jpg;41viiKX-5hL._SY300_.jpg;0
41arzL4DwWL._SX342_.jpg;31B5WSQMS6L._SX395_.jpg;0
51pLt9f7NOL._SY445_.jpg;41XfSYT84eL._SY445_.jpg;0
41Cbkc7efHL._SY300_.jpg;51gFxUAlI2L._SY395_.jpg;0
41WTMHvyDFL._SY395_.jpg;51EZ1-XfQBL._SX395_.jpg;0
41rWEBKbYCL._SX395_.jpg;51aZnRYRCBL._SX342_.jpg;0
41aA086bRcL._SX395_.jpg;416%2BeUF8rhL._SX342_.jpg;0
41cdVpQC0VL._SX300_.jpg;41cF-iURWQL._SX342_.jpg;0
41TMHsjHHlL._SX395_.jpg;41hj-fKa7ML._SY300_.jpg;0
31--vqDOmoL._SY300_.jpg;517HqvdTdyL._SX342_.jpg;0
41jL%2B2iFI8L._SY445_.jpg;51QAcrbnp4L._SX342_.jpg;0
41cwk7ftLGL._SX342_.jpg;51QecFrIwUL._SX395_.jpg;0
41Lb3OpEnJL._SY395_.jpg;51dJeE1SCoL._SY300_.jpg;0
51BehuW6uEL._SY445_.jpg;51MhjbS4V-L._SX395_.jpg;0
41vLN0dnvCL._SX342_.jpg;51AWOxqZPoL._SX342_.jpg;0
41IZtJ8ZR%2BL._SY445_.jpg;41UEdjAOHiL._SY445_.jpg;0
41eLhswK2jL._SY395_.jpg;51va61OUWtL._SY445_.jpg;0
41I2NluyzGL._SX342_.jpg;41V1l61ahKL._SY445_.jpg;0
51vsRYz-AsL._SY300_.jpg;414kCadC6%2BL._SX342_.jpg;0
51IKVUNK7OL._SX342_.jpg;51BTlKQBQmL._SY395_.jpg;0
415esYUTfjL._SX342_.jpg;416r1OSTm-L._SY395_.jpg;0
31Lf-gfSW5L._SY395_.jpg;41zAyo9ADSL._SY395_.jpg;0
51bjDzitJEL._SX342_.jpg;31ztcScP%2BwL.jpg;0
41swP5HUBaL._SX342_.jpg;41RZHNhipaL._SX395_.jpg;0
51u7YuiF5qL._SX342_.jpg;31lblVV%2BpCL._SX342_.jpg;0
41v%2B706hBxL._SY300_.jpg;41st3yt3OtL._SX342_.jpg;0
3155DNFtIPL._SX342_.jpg;41uOQ765ihL._SX395_.jpg;0
51Xgw5HtYrL._SX395_.jpg;41QIEzKRBSL._SX342_.jpg;1
51rPjKgAgbL._SY300_.jpg;51iP8K8d9KL._SX342_.jpg;0
513I%2B6Ljy5L._SY300_.jpg;41HZc%2BsfEUL.jpg;0
41P6353rCUL._SX342_.jpg;41Upal0z8zL._SY445_.jpg;0
51rd7WHQJqL._SX395_.jpg;41-fqKHd7yL._SX342_.jpg;0
4102Vsjh%2BGL._SX342_.jpg;41HSPMVVT8L._SY395_.jpg;0
51nr4zndWjL._SY395_.jpg;41jLOikk7cL._SY445_.jpg;0
41heCRGqmwL._SY300_.jpg;41YCWMWyvKL._SY300_.jpg;0
41jhtv4mLTL._SY395_.jpg;61NDNIm7nPL._SY445_.jpg;0
41zd%2BXCyJ3L._SX342_.jpg;311VZtxhRjL._SX342_.jpg;0
51Q%2Bi7otVIL._SX342_.jpg;41Saz757f5L._SY445_.jpg;0
41NuGvvfuSL._SY445_.jpg;51P%2BO%2BVlBAL._SY395_.jpg;0
41mwjzi-sRL._SX300_.jpg;41alkUgOHyL._SX300_.jpg;0
415mI-1Lf6L._SX342_.jpg;510sPqJ62lL._SY300_.jpg;0
51uPQs%2BHYcL._SX395_.jpg;41b19nXAyQL._SX395_.jpg;0
418B61PQEZL._SX342_.jpg;41J-1AilTsL._SX342_.jpg;0
41AYqZ8lmqL._SX342_.jpg;41dsxzjnJEL._SY445_.jpg;0
41bZZ9CksmL._SY445_.jpg;51lrNcqqiAL._SX342_.jpg;0
51ajkWVIZ9L._SX342_.jpg;31lK1D19SlL._SY445_.jpg;0
41qY1c%2BtBEL._SX395_.jpg;310cRbA0dKL.jpg;0
41sTOjYs1SL._SY300_.jpg;51OWu1OIY0L._SX342_.jpg;0
51voVhhysaL._SY395_.jpg;31U-Ad4iPPL._SX342_.jpg;0
610o0U-BHCL._SX342_.jpg;514Q8xkoBeL._SX342_.jpg;0
41DOAq7KcyL._SY300_.jpg;51ULl6vBWsL._SY300_.jpg;0
41aWLIDdBlL._SX395_.jpg;411EgJD4CIL._SX395_.jpg;0
41mdvq4e61L._SX300_.jpg;41OR5pJptsL._SY395_.jpg;0
41zEMyC%2Bb1L._SX300_.jpg;417nBVWSmJL._SX342_.jpg;0
412%2BUqKcLgL._SX395_.jpg;416oOLjQb-L._SY395_.jpg;0
41wAhTexD5L._SX342_.jpg;51eh1NOJd5L._SY445_.jpg;0
41jTZ0RfGDL._SX395_.jpg;31pNPcSJNoL._SY300_.jpg;0
51roJya-RaL._SX342_.jpg;515JYSsxXAL._SX395_.jpg;0
41Fg8lqcBvL.jpg;41iuqcbgtfL._SX342_.jpg;0
313Kb-vfCoL._SX342_.jpg;41qTuwad8PL._SY300_.jpg;0
41yx4f7NsvL._SX342_.jpg;31hjZLAu90L._SX342_.jpg;0
41Mhobt%2B1cL._SX342_.jpg;41wJZCQPuvL._SY395_.jpg;0
41vXrNgR11L._SX395_.jpg;41bikYbEqwL._SX300_.jpg;0
41nqSmIOpEL._SX342_.jpg;410g78OXxML._SX395_.jpg;0
41sFW277eSL._SX395_.jpg;31PHW8GQFxL._SX342_.jpg;0
31YEQzyHcPL._SY300_.jpg;41pRt-4kgaL._SX395_.jpg;0
41GVJav%2BaLL._SX395_.jpg;41NAcahWucL._SY300_.jpg;0
51XuEpL80sL._SX342_.jpg;31eSn8Yj2TL._SX342_.jpg;0
51p6EsQK%2BFL._SY445_.jpg;41gcP9nCC0L._SX342_.jpg;0
51Tl5ZZbF8L._SY395_.jpg;41GXpWbVvdL._SX342_.jpg;0
41nmtWwql7L._SY395_.jpg;41ecTmIY-IL._SY445_.jpg;0
41N6iRFXHeL._SX342_.jpg;317eLm3Kd9L._SY445_.jpg;0
41pfVoMjRuL._SX342_.jpg;41VMUQmngoL._SY300_.jpg;0
51VQGjCFXzL._SY395_.jpg;41MlHtxNzBL._SX342_.jpg;0
51wr9dUZ4YL._SY445_.jpg;4102QQ5HRJL._SY395_.jpg;0
31LegE-JSNL._SY395_.jpg;41aTowfUu-L._SY395_.jpg;0
310n2CtuoZL._SX342_.jpg;41QFz7MYrWL._SX342_.jpg;0
31DqQIP9pkL._SX342_.jpg;41L9IjS6ecL._SX342_.jpg;0
41lHnu8-FyL._SX342_.jpg;41nHjG70QoL._SY395_.jpg;0
51M60CSjnhL._SX395_.jpg;41i8SRNsHlL._SY300_.jpg;0
